gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2603337430	StillImage	image/jpeg	https://static.inaturalist.org/photos/66729100/original.jpeg?1586732171	https://www.inaturalist.org/photos/66729100					2020-04-11T15:45:57Z	simonsk52		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	simonsk52
2603337184	StillImage	image/jpeg	https://static.inaturalist.org/photos/66529761/original.jpg?1586628943	https://www.inaturalist.org/photos/66529761					2020-04-10T18:31:45Z	Chris Kaeff, GISP		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chris Kaeff, GISP
2603335370	StillImage	image/jpeg	https://static.inaturalist.org/photos/66679855/original.jpg?1586713517	https://www.inaturalist.org/photos/66679855					2020-04-12T17:18:25Z	Jeff Davis		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jeff Davis
2603334356	StillImage	image/jpeg	https://static.inaturalist.org/photos/66682523/original.jpeg?1586714570	https://www.inaturalist.org/photos/66682523					2020-04-12T08:52:23Z	sarahryandraws		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sarahryandraws
2603334211	StillImage	image/jpeg	https://static.inaturalist.org/photos/66576791/original.jpg?1586645997	https://www.inaturalist.org/photos/66576791					2020-04-11T15:12:13Z	Mauricio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mauricio
2603334211	StillImage	image/jpeg	https://static.inaturalist.org/photos/66576849/original.jpg?1586646014	https://www.inaturalist.org/photos/66576849					2020-04-11T15:12:13Z	Mauricio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mauricio
2603334211	StillImage	image/jpeg	https://static.inaturalist.org/photos/66576816/original.jpg?1586646005	https://www.inaturalist.org/photos/66576816					2020-04-11T15:12:13Z	Mauricio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mauricio
2603332651	StillImage	image/jpeg	https://static.inaturalist.org/photos/66886300/original.jpg?1586830472	https://www.inaturalist.org/photos/66886300					2020-04-12T21:57:05Z	janetfoxky		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	janetfoxky
2603332604	StillImage	image/jpeg	https://static.inaturalist.org/photos/66852723/original.jpg?1586811996	https://www.inaturalist.org/photos/66852723					2020-04-13T16:05:45Z	maritzav1		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	maritzav1
2603331446	StillImage	image/jpeg	https://static.inaturalist.org/photos/66731776/original.jpg?1586733286	https://www.inaturalist.org/photos/66731776					2020-04-12T23:11:11Z	Pam Curtin		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Pam Curtin
2603330639	StillImage	image/jpeg	https://static.inaturalist.org/photos/66901149/original.jpeg?1586842744	https://www.inaturalist.org/photos/66901149					2020-04-03T11:08:07Z	rainbowkitten		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	rainbowkitten
2603330639	StillImage	image/jpeg	https://static.inaturalist.org/photos/66901132/original.jpeg?1586842722	https://www.inaturalist.org/photos/66901132					2020-04-03T11:07:59Z	rainbowkitten		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	rainbowkitten
2603328266	StillImage	image/jpeg	https://static.inaturalist.org/photos/66574529/original.jpeg?1586645169	https://www.inaturalist.org/photos/66574529					2020-04-11T18:45:42Z	kfburcham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kfburcham
2603327122	StillImage	image/jpeg	https://static.inaturalist.org/photos/66465084/original.jpg?1586580833	https://www.inaturalist.org/photos/66465084					2020-04-10T15:25:50Z	Risa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Risa
2603326236	StillImage	image/jpeg	https://static.inaturalist.org/photos/66575959/original.jpg?1586645710	https://www.inaturalist.org/photos/66575959					2020-04-11T19:44:56Z	Jessica Rowand		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jessica Rowand
2603326236	StillImage	image/jpeg	https://static.inaturalist.org/photos/66575934/original.jpg?1586645699	https://www.inaturalist.org/photos/66575934					2020-04-11T19:44:56Z	Jessica Rowand		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jessica Rowand
2603324720	StillImage	image/jpeg	https://static.inaturalist.org/photos/35414266/original.jpg?1555887607	https://www.inaturalist.org/photos/35414266					2019-04-21T17:59:21Z	annaeb		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	annaeb
2603324451	StillImage	image/jpeg	https://static.inaturalist.org/photos/66770374/original.jpg?1586755224	https://www.inaturalist.org/photos/66770374					2019-08-17T17:37:26Z	Ashley M Bradford		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ashley M Bradford
